SELIC,USD_VALOR,ACEITO/OFERTADO,DURACAO,TAXA_ULTIMO_LEILAO,REJEICAO_MERCADO,TAXA
0.041957,3.2659,0.4904,1903,5.88,0,5.69
0.041957,3.2659,0.249,6559,5.03,0,5.548
0.041957,3.2659,0.018,13864,4.94,1,5.4499
0.03837,3.3208,0.2178,3350,5.687,0,5.69
0.03837,3.3208,0.5943333333333334,6545,5.548,0,5.69
0.03837,3.3208,0.4056666666666667,13850,5.4499,0,5.6499
0.03837,3.3208,0.7822,1889,5.69,0,5.69
0.03837,3.3172,0.4402666666666666,1875,5.69,0,5.68
0.03837,3.3172,0.1812666666666666,3336,5.69,0,5.68
0.03837,3.3172,0.3116666666666666,6531,5.69,0,5.66
0.03837,3.3172,0.22,13836,5.6499,0,5.63
0.03837,3.2522,0.0333333333333333,13822,5.63,1,5.535
0.03837,3.2522,0.6789,1861,5.68,0,5.569
0.03837,3.2522,0.3211,3322,5.68,0,5.61
0.03837,3.2522,0.9666666666666668,6517,5.66,0,5.6289
0.03837,3.1556,0.78,13808,5.535,0,5.314
0.03837,3.1556,0.197,3308,5.61,0,5.25
0.03837,3.1556,0.803,1847,5.569,0,5.089
0.03837,3.1556,0.22,6503,5.6289,0,5.29
0.034749,3.132,0.24255,3294,5.25,0,5.02
0.034749,3.132,0.9333333333333332,6489,5.29,0,5.14
0.034749,3.132,0.0666666666666666,13794,5.314,1,5.16
0.034749,3.132,0.75745,1833,5.089,0,4.71
0.034749,3.1539,0.0333333333333333,13780,5.16,1,5.225
0.034749,3.1539,0.1711,3280,5.02,0,5.0288
0.034749,3.1539,0.8289,1819,4.71,0,4.78
0.034749,3.1539,0.9666666666666668,6475,5.14,0,5.18
0.034749,3.1203,0.16805,3266,5.0288,0,4.9291
0.034749,3.1203,0.084,6461,5.18,1,5.0799
0.034749,3.1203,0.1766666666666666,13766,5.225,0,5.18
0.034749,3.1203,0.3424,1805,4.78,0,4.5799
0.031096,3.1323,0.014,13752,5.18,1,5.087
0.031096,3.1323,0.142,6447,5.0799,1,5.0099
0.031096,3.1323,0.5074,1791,4.5799,0,4.5788
0.031096,3.1323,0.1526,3252,4.9291,0,4.867
0.031096,3.1502,0.856,13738,5.087,0,5.068
0.031096,3.1502,0.144,6433,5.0099,1,4.98
0.031096,3.1502,0.2730666666666667,3238,4.867,0,4.78
0.031096,3.1502,0.7269333333333333,1777,4.5788,0,4.399
0.031096,3.1769,0.2,3224,4.78,0,4.7449
0.031096,3.1769,0.8,1763,4.399,0,4.4
0.031096,3.1769,0.1763333333333333,13724,5.068,0,5.08
0.031096,3.1769,0.3333333333333333,6419,4.98,0,4.998
0.028333,3.2769,0.238,6405,4.998,0,5.15
0.028333,3.2769,0.7043333333333334,1749,4.4,0,4.5899
0.028333,3.2769,0.058,13710,5.08,1,5.2175
0.028333,3.2769,0.2956666666666667,3210,4.7449,0,4.935
0.028333,3.2834,0.9566666666666668,6391,5.15,0,5.35
0.028333,3.2834,0.0433333333333333,13696,5.2175,1,5.3675
0.028333,3.2834,0.801,1735,4.5899,0,4.78
0.028333,3.2834,0.199,3196,4.935,0,5.148
0.028333,3.2232,0.3984,3182,5.148,0,4.97
0.028333,3.2232,0.3886666666666666,6377,5.35,0,5.29
0.028333,3.2232,0.0356666666666666,13682,5.3675,1,5.3075
0.028333,3.2232,0.6016,1721,4.78,0,4.637
0.026481,3.3149,0.521,13668,5.3075,0,5.4774
0.026481,3.3149,0.479,6363,5.29,0,5.4369
0.026481,3.3149,0.7474,1707,4.637,0,4.892
0.026481,3.3149,0.2526,3168,4.97,0,5.229
0.026481,3.2397,0.8328,1952,7.52,0,4.679
0.026481,3.2397,0.425,13640,5.4774,0,5.307
0.026481,3.2397,0.4376666666666666,6335,5.4369,0,5.25
0.026481,3.2249,0.2166666666666666,6321,5.25,0,5.11
0.026481,3.2249,0.91245,1938,4.679,0,4.7288
0.026481,3.2249,0.08755,3857,5.027,1,4.91
0.026481,3.2249,0.1296666666666666,13626,5.307,1,5.24
0.026481,3.2613,0.7927,1924,4.7288,0,4.685
0.026481,3.2613,0.03,13612,5.24,1,5.1875
0.026481,3.2613,0.0388,3843,4.91,1,4.88
0.026481,3.2613,0.0206666666666666,6307,5.11,1,5.0775
0.025552,3.2507,0.0343333333333333,13598,5.1875,1,5.125
0.025552,3.2507,0.9656666666666668,6293,5.0775,0,5.008
0.025552,3.2507,0.02552,3829,4.88,1,4.86
0.025552,3.2507,0.97448,1910,4.685,0,4.685
0.025552,3.2246,0.5673333333333334,6279,5.008,0,5.018
0.025552,3.2246,0.0386666666666666,13584,5.125,1,5.0775
0.025552,3.2246,0.8611333333333333,1896,4.685,0,4.578
0.025552,3.2246,0.1388666666666666,3815,4.86,1,4.87
0.025552,3.2981,0.136,3801,4.87,1,4.905
0.025552,3.2981,0.683,1882,4.578,0,4.52
0.025552,3.2981,0.9783333333333334,13570,5.0775,0,5.1049
0.025552,3.2981,0.0216666666666666,6265,5.018,1,5.0275
0.02462,3.3139,0.0318666666666666,3787,4.905,1,4.84
0.02462,3.3139,0.1266666666666666,6251,5.0275,1,5.04
